ImdbID,Name,Directors,OriginCountries,Languages,Genres,Rating
tt11950888,Cellar Door, Vaughn Stein , United States , English , Thriller ,5.2
tt27118357,Amaran, Rajkumar Periasamy , India , Tamil , Action Epic Action Biography Drama War ,8.6
tt27540542,Lucky Baskhar, Venky Atluri , India , Telugu , Crime Drama Thriller ,8.4
tt22805590,Black Noise, Philippe Martinez , United States , English , Action Sci-Fi ,3.1
tt15380608,Bagheera, D.R. Suri , India , Kannada , Action ,8.9
tt33990511,Megan Thee Stallion: In Her Words, Nneka Onuorah , United States ,unknown, Documentary ,7.3
tt15567964,C.S.I Sanatan, Sivashankar Dev , India , Telugu , Crime Thriller ,4.7
tt23549436,Brother, M. Rajesh , India , Tamil , Comedy Family ,8.8
tt15842056,Taxi, Harish Sajja , India , Telugu , Action Drama Thriller ,6.6
tt20257492,Lonesome Soldier, Nino Aldi , United States , English , Period Drama Psychological Drama Biography Drama Thriller War ,5.7
tt13857556,Candy Land, John Swab , United States , English , Slasher Horror Horror Thriller ,5.3
tt14857528,Time Cut, Hannah Macpherson , United States , English , Slasher Horror Teen Horror Time Travel Horror Mystery Sci-Fi Thriller ,5.0
tt12780950,Maheshum Marutiyum, Sethu , India , Malayalam , Comedy Romance ,4.5
tt11433822,Aankh Micholi, Umesh Shukla , India , Hindi , Comedy Family ,5.9
tt21227238,I Have Electric Dreams, Valentina Maurel ," Belgium, France, Costa Rica "," Spanish, English ", Drama ,6.7
tt14425968,Nede Vidudala, Ram Reddy Pannala , India , Telugu , Comedy Drama ,3.5
tt24727398,Mr. Kalyan," Pandu, Srinivas Roy ", India , Telugu , Drama Romance ,6.5
tt16183464,One Piece Film: Red, Gorô Taniguchi , Japan ," Japanese, English ", Anime Action Adventure Animation Fantasy ,6.8
tt15339570,Champions, Bobby Farrelly , United States , English , Basketball Comedy Drama Sport ,6.8
tt15299406,Hadik, János Szikora , Hungary , Hungarian , Action Adventure Biography History War ,4.4
tt32259219,Bloody Beggar, M. Sivabalan , India , Tamil , Comedy Drama ,6.5
tt15839792,Narakasura, Sebastian Noah Acosta Jr. , India , Telugu , Action Comedy Family Thriller ,7.8
tt16296308,Godless: The Eastfield Exorcism, Nick Kozakis , Australia , English , Crime Drama Horror Mystery ,5.4
tt27403986,Juror #2, Clint Eastwood , United States , English , Legal Thriller Thriller ,7.3
tt29515754,Plot, Bhanu Bhava Tharaka , India , Telugu , Crime Thriller ,7.3
tt8672856,Tu Jhoothi Main Makkaar, Luv Ranjan , India ," Hindi, English ", Romantic Comedy Comedy Romance ,6.0
tt18272208,Here, Robert Zemeckis , United States , English , Coming-of-Age Drama ,6.3
tt14773478,Medusa Deluxe, Thomas Hardiman , United Kingdom , English , Dark Comedy Drama Mystery ,6.1
tt28455891,UT69, Shahnawaz Ali , India , Hindi , Drama ,4.7
tt18747542,Faraway, Vanessa Jopp , Germany ," English, German, Turkish, Croatian ", Quirky Comedy Comedy Drama Romance ,6.7
tt28075881,Do Patti, Shashanka Chaturvedi , India , Hindi , Crime Drama Mystery Thriller ,7.0
tt7214954,Luck," Peggy Holmes, Javier Abad "," United States, Spain ", English , Computer Animation Adventure Animation Comedy Family Fantasy ,6.4
tt33529930,Bandaa Singh Chaudhary, Abhishek Saxena , India ,unknown, Action Comedy Drama ,7.5
tt16376470,Horror in the High Desert 2: Minerva, Dutch Marich , United States , English , Found Footage Horror Psychological Horror Drama Horror Mystery ,5.2
tt32292009,Laggam, Ramesh Cheppala , India , Telugu , Family ,9.7
tt17201166,Unseen, Yoko Okumura , United States , English , Horror Thriller ,5.8
tt32144471,The AI Dharma Story, Pushkar Jog , India , Marathi , Crime ,9.4
tt18303206,Indigo Kristal, Luka Mihailovic , Serbia , Serbian , Drama ,7.5
tt27621015,Shastry Viruddh Shastry," Shiboprosad Mukherjee, Nandita Roy ", India , Hindi , Drama ,7.0
tt33772755,C202, Munna Kasi , India , Telugu , Horror ,9.9
tt11426538,Coffee Wars, Randall Miller , United Kingdom , English , Comedy ,4.6
tt20850406,Sita Ramam, Hanu Raghavapudi , India , Telugu , Action Drama Mystery Romance ,8.5
tt29704964,Vidhi," Srikanth Ranganathan, Srinath Ranganathan ", India , Telugu , Crime ,7.0
tt31947573,Samudrudu, Nagesh Naradasi , India , Telugu , Romance ,9.0
tt11366674,Lola, Andrew Legge ," Ireland, United Kingdom "," English, German ", Sci-Fi War ,6.4
tt17663992,Scream VI," Matt Bettinelli-Olpin, Tyler Gillett "," United States, Canada, United Kingdom ", English , Slasher Horror Suspense Mystery Teen Horror Whodunnit Horror Mystery Thriller ,6.4
tt32035059,Narudi Brathuku Natana, Rishikeshwar Yogi , India , Telugu , Drama ,9.7
tt14152140,Darlings, Jasmeet K Reen , India , Hindi , Buddy Comedy Dark Comedy Comedy Drama Thriller ,6.6
tt26958570,Summoning the Spirit, Jon Garcia , United States , English , Horror ,5.8
tt33531981,Gangster, Chandra Shekar Rathod , India , Telugu , Drama ,9.2
tt23571908,Chris Rock: Selective Outrage, Joel Gallen , United States , English , Stand-Up Comedy Documentary ,6.8
tt14001894,Secret Headquarters," Henry Joost, Ariel Schulman ", United States , English , Superhero Action Adventure Comedy Family Sci-Fi ,5.2
tt24807110,Don't Move," Brian Netto, Adam Schindler ", United States , English , Psychological Horror Psychological Thriller Horror Thriller ,5.8
tt29058970,Krishna Ghattam, Suresh Palla , India , Telugu , Drama Thriller ,7.6
tt21237030,Carter, Jung Byung-gil , South Korea ," Korean, English ", Action Epic Action Thriller ,5.1
tt13380324,Night Shift," Benjamin China, Paul China ", United States , English , Slasher Horror Horror Thriller ,5.4
