ImdbID,Name,Runtime,ReleaseDate,OriginCountries,Languages,Genres,Rating,Plot
tt11950888,Cellar Door,01:37:00,2024-11-01,['United States'],['English'],['Thriller'],5.2,"Looking for a fresh start after a miscarriage, a couple find themselves being gifted the house of their dreams with one caveat - they can never open the cellar door. Whether they can live without knowing triggers shocking consequences."
tt27118357,Amaran,02:47:00,2024-10-31,['India'],['Tamil'],"['Action Epic', 'Action', 'Biography', 'Drama', 'War']",8.6,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014."
tt27540542,Lucky Baskhar,02:50:00,2024-10-31,['India'],['Telugu'],"['Crime', 'Drama', 'Thriller']",8.4,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.
tt15380608,Bagheera,02:38:00,2024-10-31,['India'],['Kannada'],['Action'],8.9,"When society turns into a jungle, just one predator cries out for justice."
tt33990511,Megan Thee Stallion: In Her Words,01:52:00,2024-10-31,['United States'],,['Documentary'],7.3,"Captures Megan Thee Stallion's rise to stardom, navigating fame, grief, and success. It offers unprecedented access to the multi-faceted artist, unpacking her vulnerable moments and allowing to meet the real Megan Pete behind the persona."
tt23549436,Brother,02:20:00,2024-10-31,['India'],['Tamil'],"['Comedy', 'Family']",8.8,A young man struggles to find his place after moving in with his sister and her in-laws.
tt14857528,Time Cut,01:30:00,2024-10-30,['United States'],['English'],"['Slasher Horror', 'Teen Horror', 'Time Travel', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",5.0,High school student accidentally travels back to 2003 and decides to stop the serial killer who murdered her sister.
tt32259219,Bloody Beggar,02:30:00,2024-10-31,['India'],['Tamil'],"['Comedy', 'Drama']",6.5,"A beggar's life takes an unexpected turn when a misadventure upends his daily routine. Can he navigate the bizarre, witty situations that follow?"
tt27403986,Juror #2,01:54:00,2024-10-30,['United States'],['English'],"['Legal Thriller', 'Thriller']",7.3,"While serving as a juror in a high-profile murder trial, family man Justin Kemp finds himself struggling with a serious moral dilemma...one he could use to sway the jury verdict and potentially convict - or free - the wrong killer."
tt18272208,Here,01:44:00,2024-11-01,['United States'],['English'],"['Coming-of-Age', 'Drama']",6.3,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life."
tt28075881,Do Patti,02:06:00,2024-10-25,['India'],['Hindi'],"['Crime', 'Drama', 'Mystery', 'Thriller']",7.0,Twin sisters harbouring deep secrets and a determined police inspector seeking to uncover the truth in an attempted murder case.
tt33529930,Bandaa Singh Chaudhary,01:53:00,2024-10-25,['India'],,"['Action', 'Comedy', 'Drama']",7.5,"Set during 1971 Indo-Pak war's aftermath, communal riots in Punjab. A man fights for rights, family's survival amid division, violence. An ordinary man fights to protect his family's rights and survive amidst deep divisions and violence."
